axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,256,5589891181333,5589891235916,5589891242333,6417,5375,1792,108250,115417
write_tid_threadcount,32,0,257,5589891407583,5589891458625,5589891464750,6125,5459,2083,94500,102042
write_tid_threadcount,32,0,258,5589891620375,5589891669750,5589891676166,6416,5500,1667,105458,112625
write_tid_threadcount,32,0,259,5589891846208,5589891910041,5589891916250,6209,7125,2458,108042,117625
write_tid_threadcount,32,0,260,5589892083875,5589892139541,5589892145875,6334,8125,1792,97750,107667
write_tid_threadcount,32,0,261,5589892300458,5589892349625,5589892355833,6208,6916,1750,86042,94708
write_tid_threadcount,32,0,262,5589892517750,5589892571541,5589892578083,6542,5417,1750,102542,109709
write_tid_threadcount,32,0,263,5589892745916,5589892799125,5589892805375,6250,5416,1750,96709,103875
write_tid_threadcount,32,0,264,5589892970125,5589893022875,5589893029291,6416,5417,1708,101584,108709
write_tid_threadcount,32,0,265,5589893199791,5589893253416,5589893259708,6292,6791,2250,94584,103625
write_tid_threadcount,32,0,266,5589893419500,5589893474416,5589893480791,6375,6667,2041,128250,136958
write_tid_threadcount,32,0,267,5589893685583,5589893735500,5589893741625,6125,5459,1791,94709,101959
write_tid_threadcount,32,0,268,5589893897500,5589893947583,5589893953916,6333,5417,1750,95916,103083
write_tid_threadcount,32,0,269,5589894126125,5589894182041,5589894188333,6292,5500,1834,111041,118375
